epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
76,7807.12,0.17001,0.1016,0.14571,0.91381,0.93628,0.89382,0.95254,0.85118,0.93358,0.91506,0.95908,0.88187,0.4953,0.51686,1.02337,0.91766,0.00962538,0.00962538,0.00962538
77,7909.91,0.16735,0.117,0.151,0.9134,0.73196,0.47705,0.63333,0.54191,0.74758,0.54109,0.69009,0.56931,1.11713,0.54165,1.90095,1.45306,0.00962038,0.00962038,0.00962038
78,8012.94,0.17229,0.1109,0.16214,0.9134,0.89005,0.87193,0.92827,0.76478,0.89679,0.88581,0.94106,0.80406,0.67727,0.53899,1.19505,1.0868,0.00961539,0.00961539,0.00961539
79,8115.3,0.16794,0.10067,0.23118,0.91415,0.96557,0.89221,0.95507,0.86311,0.95008,0.91407,0.96365,0.89699,0.56713,0.45203,0.8777,1.06558,0.00961039,0.00961039,0.00961039
80,8217.97,0.16315,0.10702,0.17941,0.908,0.95169,0.88308,0.9498,0.85509,0.94828,0.91035,0.9645,0.8771,0.47984,0.53452,0.82269,0.95796,0.0096054,0.0096054,0.0096054
81,8320.39,0.16298,0.10192,0.14305,0.90944,0.88336,0.82445,0.90129,0.80269,0.91138,0.85912,0.93522,0.84097,0.57028,0.42633,1.13683,0.9844,0.0096004,0.0096004,0.0096004
82,8422.82,0.16178,0.11101,0.2308,0.90954,0.87257,0.84773,0.90632,0.79262,0.86598,0.84133,0.90124,0.79441,0.64791,0.70427,1.34799,1.05708,0.0095954,0.0095954,0.0095954
83,8524.88,0.17163,0.09867,0.15974,0.91575,0.95774,0.89487,0.9507,0.86073,0.95733,0.90395,0.96078,0.87944,0.4955,0.55126,0.84298,1.03722,0.00959041,0.00959041,0.00959041
84,8627.18,0.16789,0.10646,0.14634,0.91557,0.97141,0.8666,0.94082,0.84679,0.95548,0.89333,0.94999,0.88629,0.51247,0.41152,1.14806,0.96084,0.00958541,0.00958541,0.00958541
85,8729.45,0.16993,0.10192,0.14624,0.91434,0.93859,0.88086,0.94799,0.86775,0.94032,0.89117,0.95125,0.88797,0.45487,0.458,0.67408,0.95768,0.00958042,0.00958042,0.00958042
86,8831.84,0.15947,0.09229,0.13969,0.90889,0.95663,0.89463,0.94591,0.85705,0.95704,0.90288,0.95211,0.88023,0.44549,0.4476,0.97598,0.90207,0.00957543,0.00957543,0.00957543
87,8934.35,0.16504,0.10681,0.14539,0.91367,0.94463,0.91039,0.95564,0.82982,0.94799,0.91418,0.96165,0.86549,0.52284,0.48781,0.63912,1.05821,0.00957043,0.00957043,0.00957043
88,9036.95,0.17009,0.10098,0.14179,0.91421,0.95501,0.90715,0.953,0.84855,0.95524,0.91355,0.95774,0.87707,0.48507,0.44147,0.63355,0.94913,0.00956544,0.00956544,0.00956544
89,9139.49,0.16283,0.09629,0.16376,0.90839,0.9628,0.88384,0.94991,0.79001,0.97057,0.88154,0.95706,0.82269,0.54534,0.48694,0.87109,1.00117,0.00956044,0.00956044,0.00956044
90,9241.81,0.16282,0.09173,0.13804,0.91199,0.94563,0.89099,0.95339,0.87228,0.94462,0.90288,0.9596,0.90227,0.444,0.41395,0.65753,0.86498,0.00955545,0.00955545,0.00955545
91,9344.19,0.16086,0.10071,0.16303,0.90898,0.85326,0.88122,0.92237,0.80282,0.85893,0.89114,0.92552,0.83639,0.4811,0.42193,1.22997,0.8848,0.00955045,0.00955045,0.00955045
92,9446.63,0.1658,0.09619,0.14348,0.9092,0.95287,0.91249,0.95705,0.86495,0.95358,0.91355,0.96058,0.89876,0.43792,0.41904,0.67148,0.92406,0.00954546,0.00954546,0.00954546
